episode,total_reward,total_energy_cost_p,avg_comfort_penalty
0,-2100.2145315150324,1671.0592130666712,4.4703679005037635
1,-1449.5841892040537,1446.3203089088734,0.03399875307479935
2,-1772.6102988191874,1723.9091578954974,0.5073035512884282
3,-1375.2708393737407,1344.3304998235967,0.3222952036473324
4,-1609.7459898915304,1589.4195413276848,0.21173383920672614
5,-1819.6969110973141,1778.5895024920287,0.4282021729717269
6,-1486.9705788034273,1467.108291773074,0.20689882323284867
7,-1895.684803635985,1837.1586589811177,0.6096473401548638
8,-1670.6522640516632,1644.9217741509972,0.26802593646527867
9,-1940.0659215046348,1462.821449952453,4.97129657866856
10,-2447.0048483218934,1615.4422722715233,8.662110167191363
11,-1542.0235411464723,1537.463325410927,0.047502247245262696
12,-1594.1634716145743,1366.1187147631924,2.3754662172018994
13,-1471.6308007232194,1434.7591781760136,0.3840794015333963
14,-1631.7779402973963,1607.8328381798897,0.2494281470573577
15,-1765.3620844606621,1399.3627353951947,3.8124932194319565
16,-1698.1264674681145,1695.9610766687374,0.022556154160179462
17,-1590.051832334493,1483.695536941928,1.1078780770058867
18,-1690.012087703947,1634.7694262853154,0.5754443897774247
19,-1676.4261182631471,1647.7294512749083,0.29892361446082855
20,-1531.0409596855854,1515.3016274211268,0.16395137775476973
21,-2102.1546599420794,945.016354503545,12.053524014984733
22,-1158.1483278327883,349.3251355877586,8.425241585885727
23,-2034.3987053812375,205.56454324748353,19.05035585555994
24,-1881.0571242635522,199.5622975423574,17.51557111167911
25,-1155.4228501069497,177.57883072429263,10.18587520190268
26,-1459.8820692133263,200.56450731193587,13.117891269806151
27,-2412.358709707801,199.02340772895977,23.055576062279602
28,-2502.2772399494656,198.01727909804526,24.00270792553563
29,-1748.9761479984784,202.09827849221713,16.11331114069022
30,-1017.5271875071489,175.8133055217054,8.767852937348371
31,-1412.827194375251,182.82752151748798,12.812496592268365
32,-1232.1843200850878,193.8819293840823,10.815649903135474
33,-1759.5479052043302,199.03460121267784,16.25534691657971
34,-2552.976148639912,258.8392341270968,23.89725952617515
35,-1317.5035908708849,372.92490551988135,9.839361305739613
36,-1190.0192076578714,307.32944343826,9.194685043954292
37,-1376.3925918556345,487.47097168622923,9.259600210097968
38,-577.4107915785137,205.16839336048142,3.8775249814378365
39,-1641.776385573483,587.5016372320193,10.98202862855691
40,-1096.7735183625762,344.4012984228775,7.837210624371859
41,-1261.277434353143,372.45021808797844,9.258616836095465
42,-1787.9511898719,764.6464448692268,10.659424427111178
43,-999.4450299018306,430.54814098698876,5.926009259529601
44,-2416.7822321396966,972.6402483923293,15.043145664035071
45,-1470.597962741879,553.299609000248,9.555191184808649
46,-1752.7692379935816,610.6835018954545,11.896726417688825
47,-1233.8267057502521,328.6476594975055,9.428948398466106
48,-1964.3544470011366,713.145541039418,13.033426103767901
49,-902.6427283360126,313.027713561442,6.141823070568441
50,-2149.8156088197243,1110.645356960857,10.824690123529862
51,-1376.3930155964554,430.2932710796608,9.85520567204994
52,-1453.5509944862345,522.9234850742496,9.694036556374842
53,-1277.3731698903823,416.734663546181,8.964984441085429
54,-1437.075904233395,484.14890198833785,9.92632294005268
55,-1136.7036769771614,534.9449194542387,6.268320390863778
56,-838.6076947650239,387.0042644911359,4.704202398686335
57,-1359.764822430342,577.134897601221,8.152395050303346
58,-1542.347314847083,946.044729098206,6.211485268217467
59,-871.8337472208489,661.355577680428,2.1924809327127197
60,-1098.6904635815172,703.1553436516571,4.120157499269372
61,-1278.56328227871,661.1813908622956,6.4310613689209815
62,-2283.522359759053,594.4581941185047,17.594418392089043
63,-2071.0063424961654,560.9199022435612,15.730067085964627
64,-1121.6366689754843,776.5405686292802,3.5947510452729587
65,-1534.2564997731656,803.597677458975,7.6110293991061555
66,-2201.677830304025,772.7629983253171,14.884529499778203
67,-1598.0936332511733,621.8935695846485,10.168750663192968
68,-1802.8227490505235,674.9614556798086,11.74855513927828
69,-1831.734142375151,417.15684797557464,14.735180149995584
70,-1670.005489075127,298.84804647888535,14.28289002704419
71,-1703.1702560133074,627.8184964136541,11.201580829163047
72,-3501.79362747209,818.2557647797838,27.953519403044847
73,-1076.6406764660346,483.01500033971683,6.183600792982475
74,-1586.089912155036,627.0179221754465,9.990333228954054
75,-2456.5131848383385,727.0266350369106,18.015484893764874
76,-1906.4313255501131,677.6378557286533,12.79993197730687
77,-2507.5661673301815,515.4158665479107,20.751565633148658
78,-926.9734237651728,422.68870511654376,5.252965819256553
79,-1597.691869500797,571.956657968354,10.684741786796279
80,-998.9607288498889,896.8184296000568,1.063982283852419
81,-1092.6372827046398,713.9643118712181,3.9445101128481412
82,-1194.7639305956839,702.864979030353,5.123947412138864
83,-1126.2462350815977,576.2249793615314,5.729388080417361
84,-1478.3815592606654,560.6020879962787,9.560202825670698
85,-997.3630284092104,404.4605406728259,6.176067580587341
86,-2690.7658990811083,535.5133344370423,22.4505475483757
87,-1463.5257075089594,567.5897599028273,9.332666120897207
88,-1241.899795817665,719.1860943851594,5.444934389921936
89,-2249.8523970515607,536.9673495755617,17.842552577874986
90,-1062.649839099088,780.7138488041493,2.9368332322389428
91,-2260.686274551719,407.70994758048766,19.30183673928366
92,-1583.4391341688872,687.110026319498,9.336761540097806
93,-1611.8093896763362,613.8065351874942,10.395863067592105
94,-2360.7467179358814,513.458459251001,19.242586027967505
95,-2215.7030861485873,424.5927230450926,18.657399615661408
96,-1871.275209168779,510.1766853036198,14.178109623595413
97,-1803.0949441316493,260.55649210087,16.068108875320608
98,-1363.091958531842,665.9728974531098,7.261656886236799
99,-2732.672217500039,571.9128230059075,22.50791035931387
100,-1219.484093460878,709.3945014584737,5.3134332500250405
101,-1612.1537200657551,423.540523043775,12.381387468978959
102,-1303.4019774009214,376.1725561222446,9.658639804986212
103,-2616.1001017888098,471.35564432727017,22.341088098557716
104,-1426.295033493121,509.8750558775763,9.54604143349526
105,-3313.0841056854783,627.4036138164338,27.975838456969214
106,-1006.1061918458389,569.6173152735205,4.546759130961648
107,-1253.2003965483193,593.1987292411596,6.875017367782916
108,-1584.1311412121336,377.1406427509921,12.572817692303554
109,-2306.635071791065,776.807692561625,15.935701866973337
110,-2220.1408308706605,510.6604456194999,17.80708734636625
111,-2683.4267125596466,477.05750258619366,22.983012603890142
112,-1030.162639183166,383.47507283434356,6.736328816133568
113,-825.0130949011698,380.614959487943,4.6291472438877745
114,-2641.9483697471887,533.2689983641613,21.96541011857319
115,-2079.253319837368,427.97442226985197,17.200821849661633
116,-1339.3354843283628,444.61707517703513,9.31998342865966
117,-2400.269908054331,540.4726347347846,19.372888263745278
118,-1553.3377191921668,652.820672028945,9.38038590795022
119,-1406.1557813346408,402.8769344016462,10.450821322218703
120,-1617.5816300976326,318.80329605566624,13.528940979603819
121,-923.676928171983,269.5439347962473,6.813885347663914
122,-1453.996177995322,361.41924187192103,11.381009751285426
123,-1114.435431918938,296.4004312305281,8.521197923837608
124,-1815.4110358927123,407.7137882087819,14.663512996707611
125,-2003.5857233324386,327.5672590539055,17.45852566956806
126,-1805.6137223900687,331.96077206787123,15.350551565856222
127,-773.9691314833115,266.7668735879376,5.283356853076809
128,-1166.0206335021544,277.7314146507482,9.253012696368815
129,-1951.566595781834,312.78329516797317,17.07065938139438
130,-1616.6102573159574,475.48876987786184,11.886682160813493
131,-1169.785789985316,406.950643898591,7.946199438403382
132,-1776.044505689306,350.3993413753483,14.850470461603734
133,-1224.1005409819338,399.0412296060061,8.59436782683258
134,-1167.5887013355846,516.5598082195937,6.781550969958236
135,-2195.4869686986576,479.57704548026635,17.87406170019157
136,-895.7133942580933,196.2898357457281,7.285662067837138
137,-1690.7504248351888,449.3816694965263,12.930924534777738
138,-2289.5601630910737,530.2006264666959,18.326661839837275
139,-989.924107028621,181.26997569685508,8.423480534705895
140,-710.2579834228532,217.4665301495796,5.1332443049299314
141,-1763.511261548733,250.83230722252208,15.75707244089803
142,-1885.094138829179,299.51038069093477,16.51649748060671
143,-1486.4653596629485,260.0143519519934,12.775531330322446
144,-828.2094373933651,217.80723434881594,6.358356281714054
145,-910.5125726667775,249.49335102504944,6.885616892101335
146,-1018.2869739597505,273.64326885423884,7.756705261515749
147,-1086.0943347160537,372.5564779893506,7.432686007569829
148,-1021.56241883071,516.3591014368401,5.262534556186147
149,-1472.3697753425006,356.57544140282715,11.622857645204936
150,-2215.783094387451,236.61040158930186,20.61638221664739
151,-2165.284211825014,312.965312995101,19.294988529478264
152,-826.4855620866622,202.4712323830237,6.500149267746235
153,-1080.0057184737616,389.287204150702,7.194984524198542
154,-1175.9505376230056,259.1225684008637,9.550291346063979
155,-2076.6985503278506,289.80847038385104,18.613438332749997
156,-2535.482241739437,318.52349449723505,23.09332028377294
157,-691.7968511966595,196.4945246348746,5.159399235018591
158,-621.1522433385298,235.459829658261,4.017629309169465
159,-705.5147298260996,305.5763336268366,4.166024960408989
160,-1126.0573215837744,507.5572954984981,6.442708605054961
161,-2084.3616133022933,276.30405798442405,18.833932867894468
162,-2009.876336730727,286.59636934439084,17.950832993607666
163,-1632.724929402778,505.9737743542145,11.736991198422537
164,-2377.362453295001,262.47543468329604,22.0300731105386
165,-1097.883499881202,425.12825895329286,7.007867092999053
166,-1905.689981345553,372.5204371025791,15.970516085864306
167,-1674.8720742931705,302.5211717155999,14.295321901849697
168,-2043.2890053091987,408.9061959523401,17.024820930800608
169,-2680.2651213990325,296.6760712179748,24.829052606052674
170,-968.4444383742187,278.0910099127917,7.191181546473197
171,-1730.128631133935,412.78112643323607,13.722369840632277
172,-1736.4482394613615,346.8220804010805,14.47527249021126
173,-1227.1294932739063,338.4731440752812,9.25683697081901
174,-915.9903470145069,308.950556724146,6.323331148857926
175,-801.0672430239345,208.40217633150968,6.173594444712755
176,-1778.12649559179,374.9987023193116,14.615914513254985
177,-3110.4423418830797,254.41357630240202,29.750299641465404
178,-1234.0797584763072,430.8002584422653,8.367494792021274
179,-2399.11993032689,196.45200093181077,22.94445759786541
