episode,total_reward,total_energy_cost_p,avg_comfort_penalty,violations
0,-3188.5232984877207,1263.81861998719,47.09444830488061,95
1,-4200.562669338866,1264.8923822167972,62.1393574656924,62
2,-3198.218674329673,1735.175228520394,47.079838835703335,95
3,-4301.645210806519,1462.2866630492929,63.59076603490379,64
4,-2647.4028376273614,1240.9385620963506,39.06151884502133,61
5,-2700.4981327330115,1629.5087097671967,39.76871962109626,59
6,-3370.319090298895,1370.0584065983733,49.788213127484035,62
7,-4166.853558884018,1112.611476679885,61.6875197820003,63
8,-4150.648681639602,1753.8124906126316,61.2860480926689,64
9,-4297.883515035332,1439.504794519593,63.5914199277521,64
10,-3147.6364280308503,1358.6599441170758,46.4704349575671,94
11,-4243.120914194566,1537.1044694563623,62.69760155960474,63
12,-4260.6700981119975,1462.7043690682005,63.0166073025392,64
13,-3037.603564896457,969.8171876753336,44.92793483843676,92
14,-3179.8935675598523,1624.6783779926184,46.875,96
15,-3170.219711717575,1454.7701237937476,46.744409363715796,96
16,-1971.9885495946328,1310.3440110030133,28.95582841331209,53
17,-3059.2707750410323,1541.014650898049,45.09822145867664,91
18,-2545.4298043008544,1575.0325571979963,37.417100493406195,60
19,-3107.561931424068,1352.3497905780766,45.87299011328134,95
20,-4294.3507419492225,1084.7636150905823,63.63921829832456,64
21,-4152.949865868641,1567.351216797045,61.3676018085223,60
22,-3241.2545711209227,2575.228556046108,47.5,96
23,-3149.211138279115,1559.2807334874162,46.43192743466321,94
24,-3174.1543959921446,1058.0016885230095,46.928487533060775,96
25,-3585.9896732599386,1554.6503708628422,52.90099205123037,32
26,-4151.2146146371915,886.2905812058631,61.56902980674216,61
27,-3348.742671974914,1219.1552593058404,49.53883283911899,32
28,-4295.662295457081,1347.0143569427335,63.58142869521171,64
29,-2806.186450492529,1223.3159884991376,41.46458527860931,86
30,-3783.570164515795,1372.814348894695,55.944402939552084,64
31,-4042.3310412412548,1383.0610417335074,59.766663994145595,64
32,-3814.6206859717154,1013.4576294469263,56.48067758010085,61
33,-4270.988965940432,1572.7539533325082,63.08830188800269,63
34,-3095.974340586299,1289.6384391026784,45.70136267565841,93
35,-3681.505458232769,1299.9999377049721,54.4249324327183,60
36,-3017.4641692705045,1460.0588719056793,44.48754452131536,92
37,-3205.68458131537,1456.7290657685346,47.291666666666664,96
38,-3560.294292572751,1042.2385939412611,52.67037977223105,63
