seed,policy,season,hour,T_in,T_out,price,SOC,p_grid_kw,p_solar_kw,comfort_dev,occupancy,a_bat,a_hvac,hvac_mode
42,naive,0,0.00,22.29,-2.29,17.79,0.1396,4.5000,0.0000,1.2929,1,0.0000,1.0000,heating
42,naive,0,0.25,21.37,-2.29,17.79,0.1396,0.5000,0.0000,0.3711,1,0.0000,0.0000,off
42,naive,0,0.50,20.48,-2.27,17.79,0.1396,0.5000,0.0000,0.5154,1,0.0000,0.0000,off
42,naive,0,0.75,22.13,-2.24,17.79,0.1396,4.5000,0.0000,1.1325,1,0.0000,1.0000,heating
42,naive,0,1.00,21.22,-2.19,17.79,0.1396,0.5000,0.0000,0.2203,1,0.0000,0.0000,off
42,naive,0,1.25,20.34,-2.14,17.79,0.1396,0.5000,0.0000,0.6555,1,0.0000,0.0000,off
42,naive,0,1.50,22.00,-2.07,17.79,0.1396,4.5000,0.0000,1.0041,1,0.0000,1.0000,heating
42,naive,0,1.75,21.10,-1.99,17.79,0.1396,0.5000,0.0000,0.1045,1,0.0000,0.0000,off
42,naive,0,2.00,20.24,-1.89,17.79,0.1396,0.5000,0.0000,0.7579,1,0.0000,0.0000,off
42,naive,0,2.25,21.92,-1.79,17.79,0.1396,4.5000,0.0000,0.9159,1,0.0000,1.0000,heating
42,naive,0,2.50,21.03,-1.67,17.79,0.1396,0.5000,0.0000,0.0313,1,0.0000,0.0000,off
42,naive,0,2.75,20.18,-1.55,17.79,0.1396,0.5000,0.0000,0.8155,1,0.0000,0.0000,off
42,naive,0,3.00,21.87,-1.42,17.79,0.1396,4.5000,0.0000,0.8745,1,0.0000,1.0000,heating
42,naive,0,3.25,21.01,-1.27,17.79,0.1396,0.5000,0.0000,0.0065,1,0.0000,0.0000,off
42,naive,0,3.50,20.18,-1.12,17.79,0.1396,0.5000,0.0000,0.8233,1,0.0000,0.0000,off
42,naive,0,3.75,21.88,-0.96,17.79,0.1396,4.5000,0.0000,0.8840,1,0.0000,1.0000,heating
42,naive,0,4.00,21.03,-0.79,17.79,0.1396,0.5000,0.0000,0.0336,1,0.0000,0.0000,off
42,naive,0,4.25,20.22,-0.62,17.79,0.1396,0.5000,0.0000,0.7785,1,0.0000,0.0000,off
42,naive,0,4.50,21.95,-0.44,17.79,0.1396,4.5000,0.0000,0.9466,1,0.0000,1.0000,heating
42,naive,0,4.75,21.11,-0.26,17.79,0.1396,0.5000,0.0000,0.1139,1,0.0000,0.0000,off
42,naive,0,5.00,20.32,-0.07,23.71,0.1396,0.5000,0.0000,0.6805,1,0.0000,0.0000,off
42,naive,0,5.25,22.06,0.12,23.71,0.1396,4.5000,0.0000,1.0620,1,0.0000,1.0000,heating
42,naive,0,5.50,21.25,0.31,23.71,0.1396,0.5000,0.0000,0.2464,1,0.0000,0.0000,off
42,naive,0,5.75,20.47,0.51,23.71,0.1396,0.5000,0.0000,0.5312,1,0.0000,0.0000,off
42,naive,0,6.00,22.23,0.71,23.71,0.1396,4.5000,0.0000,1.2277,1,0.0000,1.0000,heating
42,naive,0,6.25,21.43,0.90,23.71,0.1396,0.4930,0.0070,0.4279,1,0.0000,0.0000,off
42,naive,0,6.50,20.67,1.10,23.71,0.1396,0.4857,0.0143,0.3345,1,0.0000,0.0000,off
42,naive,0,6.75,22.44,1.29,23.71,0.1396,4.4789,0.0211,1.4390,1,0.0000,1.0000,heating
42,naive,0,7.00,21.65,1.48,23.71,0.1396,0.4716,0.0284,0.6531,1,0.0000,0.0000,off
42,naive,0,7.25,20.90,1.67,23.71,0.1396,0.4649,0.0351,0.0963,1,0.0000,0.0000,off
42,naive,0,7.50,22.69,1.85,23.71,0.1396,4.4588,0.0412,1.6893,1,0.0000,1.0000,heating
42,naive,0,7.75,21.91,2.03,23.71,0.1396,0.4514,0.0486,0.9147,1,0.0000,0.0000,off
42,naive,0,8.00,21.18,2.21,23.71,0.1396,0.4451,0.0549,0.1756,1,0.0000,0.0000,off
42,naive,0,8.25,20.47,2.37,23.71,0.1396,0.4400,0.0600,0.5296,1,0.0000,0.0000,off
42,naive,0,8.50,22.30,2.53,23.71,0.1396,4.4346,0.0654,1.2977,1,0.0000,1.0000,heating
42,naive,0,8.75,21.56,2.68,23.71,0.1396,0.4280,0.0720,0.5622,1,0.0000,0.0000,off
42,naive,0,9.00,20.86,2.83,23.71,0.1396,0.4244,0.0756,0.1404,1,0.0000,0.0000,off
42,naive,0,9.25,22.69,2.96,23.71,0.1396,4.4195,0.0805,1.6884,1,0.0000,1.0000,heating
42,naive,0,9.50,21.95,3.09,23.71,0.1396,0.4157,0.0843,0.9533,1,0.0000,0.0000,off
42,naive,0,9.75,21.25,3.20,23.71,0.1396,0.4088,0.0912,0.2501,1,0.0000,0.0000,off
42,naive,0,10.00,20.58,3.30,23.71,0.1396,0.4055,0.0945,0.4229,1,0.0000,0.0000,off
42,naive,0,10.25,22.43,3.40,23.71,0.1396,4.4019,0.0981,1.4328,1,0.0000,1.0000,heating
42,naive,0,10.50,21.72,3.48,23.71,0.1396,0.3987,0.1013,0.7219,1,0.0000,0.0000,off
42,naive,0,10.75,21.04,3.55,23.71,0.1396,0.3975,0.1025,0.0403,1,0.0000,0.0000,off
42,naive,0,11.00,20.39,3.60,23.71,0.1396,0.3950,0.1050,0.6135,1,0.0000,0.0000,off
42,naive,0,11.25,22.26,3.65,23.71,0.1396,4.3952,0.1048,1.2588,1,0.0000,1.0000,heating
42,naive,0,11.50,21.56,3.68,23.71,0.1396,0.3942,0.1058,0.5620,1,0.0000,0.0000,off
42,naive,0,11.75,20.89,3.70,23.71,0.1396,0.3910,0.1090,0.1078,1,0.0000,0.0000,off
42,naive,0,12.00,22.75,3.71,23.71,0.1396,4.3917,0.1083,1.7477,1,0.0000,1.0000,heating
42,naive,0,12.25,22.03,3.70,23.71,0.1396,0.3915,0.1085,1.0333,1,0.0000,0.0000,off
42,naive,0,12.50,21.35,3.68,23.71,0.1396,0.3913,0.1087,0.3451,1,0.0000,0.0000,off
42,naive,0,12.75,20.68,3.65,23.71,0.1396,0.3931,0.1069,0.3186,1,0.0000,0.0000,off
42,naive,0,13.00,22.54,3.60,23.71,0.1396,4.3950,0.1050,1.5410,1,0.0000,1.0000,heating
42,naive,0,13.25,21.83,3.55,23.71,0.1396,0.3971,0.1029,0.8287,1,0.0000,0.0000,off
42,naive,0,13.50,21.14,3.48,23.71,0.1396,0.4006,0.0994,0.1405,1,0.0000,0.0000,off
42,naive,0,13.75,20.48,3.40,23.71,0.1396,0.4046,0.0954,0.5249,1,0.0000,0.0000,off
42,naive,0,14.00,22.33,3.30,23.71,0.1396,4.4063,0.0937,1.3312,1,0.0000,1.0000,heating
42,naive,0,14.25,21.61,3.20,23.71,0.1396,0.4109,0.0891,0.6137,1,0.0000,0.0000,off
42,naive,0,14.50,20.92,3.09,23.71,0.1396,0.4143,0.0857,0.0811,1,0.0000,0.0000,off
42,naive,0,14.75,22.75,2.96,23.71,0.1396,4.4173,0.0827,1.7455,1,0.0000,1.0000,heating
42,naive,0,15.00,22.00,2.83,23.71,0.1396,0.4242,0.0758,0.9985,1,0.0000,0.0000,off
42,naive,0,15.25,21.27,2.68,23.71,0.1396,0.4298,0.0702,0.2742,1,0.0000,0.0000,off
42,naive,0,15.50,20.57,2.53,23.71,0.1396,0.4346,0.0654,0.4286,1,0.0000,0.0000,off
42,naive,0,15.75,22.39,2.37,23.71,0.1396,4.4403,0.0597,1.3889,1,0.0000,1.0000,heating
42,naive,0,16.00,21.63,2.21,39.52,0.1396,0.4454,0.0546,0.6320,1,0.0000,0.0000,off
42,naive,0,16.25,20.90,2.03,39.52,0.1396,0.4519,0.0481,0.1030,1,0.0000,0.0000,off
42,naive,0,16.50,22.68,1.85,39.52,0.1396,4.4580,0.0420,1.6829,1,0.0000,1.0000,heating
42,naive,0,16.75,21.89,1.67,39.52,0.1396,0.4649,0.0351,0.8949,1,0.0000,0.0000,off
42,naive,0,17.00,21.13,1.48,39.52,0.1396,0.4720,0.0280,0.1294,1,0.0000,0.0000,off
42,naive,0,17.25,20.39,1.29,39.52,0.1396,0.4786,0.0214,0.6145,1,0.0000,0.0000,off
42,naive,0,17.50,22.16,1.10,39.52,0.1396,4.4860,0.0140,1.1622,1,0.0000,1.0000,heating
42,naive,0,17.75,21.36,0.90,39.52,0.1396,0.4930,0.0070,0.3649,1,0.0000,0.0000,off
42,naive,0,18.00,20.59,0.71,39.52,0.1396,0.5000,0.0000,0.4098,1,0.0000,0.0000,off
42,naive,0,18.25,22.34,0.51,39.52,0.1396,4.5000,0.0000,1.3371,1,0.0000,1.0000,heating
42,naive,0,18.50,21.51,0.31,39.52,0.1396,0.5000,0.0000,0.5112,1,0.0000,0.0000,off
42,naive,0,18.75,20.71,0.12,39.52,0.1396,0.5000,0.0000,0.2909,1,0.0000,0.0000,off
42,naive,0,19.00,22.43,-0.07,39.52,0.1396,4.5000,0.0000,1.4298,1,0.0000,1.0000,heating
42,naive,0,19.25,21.58,-0.26,39.52,0.1396,0.5000,0.0000,0.5790,1,0.0000,0.0000,off
42,naive,0,19.50,20.75,-0.44,39.52,0.1396,0.5000,0.0000,0.2468,1,0.0000,0.0000,off
42,naive,0,19.75,22.45,-0.62,39.52,0.1396,4.5000,0.0000,1.4516,1,0.0000,1.0000,heating
42,naive,0,20.00,21.58,-0.79,25.69,0.1396,0.5000,0.0000,0.5799,1,0.0000,0.0000,off
42,naive,0,20.25,20.73,-0.96,25.69,0.1396,0.5000,0.0000,0.2654,1,0.0000,0.0000,off
42,naive,0,20.50,22.42,-1.12,25.69,0.1396,4.5000,0.0000,1.4150,1,0.0000,1.0000,heating
42,naive,0,20.75,21.53,-1.27,25.69,0.1396,0.5000,0.0000,0.5267,1,0.0000,0.0000,off
42,naive,0,21.00,20.67,-1.42,25.69,0.1396,0.5000,0.0000,0.3336,1,0.0000,0.0000,off
42,naive,0,21.25,22.33,-1.55,25.69,0.1396,4.5000,0.0000,1.3333,1,0.0000,1.0000,heating
42,naive,0,21.50,21.43,-1.67,25.69,0.1396,0.5000,0.0000,0.4330,1,0.0000,0.0000,off
42,naive,0,21.75,20.56,-1.79,25.69,0.1396,0.5000,0.0000,0.4378,1,0.0000,0.0000,off
42,naive,0,22.00,22.22,-1.89,25.69,0.1396,4.5000,0.0000,1.2201,1,0.0000,1.0000,heating
42,naive,0,22.25,21.31,-1.99,25.69,0.1396,0.5000,0.0000,0.3124,1,0.0000,0.0000,off
42,naive,0,22.50,20.44,-2.07,25.69,0.1396,0.5000,0.0000,0.5643,1,0.0000,0.0000,off
42,naive,0,22.75,22.09,-2.14,25.69,0.1396,4.5000,0.0000,1.0893,1,0.0000,1.0000,heating
42,naive,0,23.00,21.18,-2.19,25.69,0.1396,0.5000,0.0000,0.1787,1,0.0000,0.0000,off
42,naive,0,23.25,20.30,-2.24,25.69,0.1396,0.5000,0.0000,0.6994,1,0.0000,0.0000,off
42,naive,0,23.50,21.95,-2.27,25.69,0.1396,4.5000,0.0000,0.9543,1,0.0000,1.0000,heating
42,naive,0,23.75,21.05,-2.29,25.69,0.1396,0.5000,0.0000,0.0452,1,0.0000,0.0000,off
42,sac,0,0.00,20.99,-2.29,17.79,0.1704,3.7001,0.0000,0.0076,1,0.4270,0.4798,heating
42,sac,0,0.25,20.99,-2.29,17.79,0.2005,3.1428,0.0000,0.0081,1,0.4155,0.3490,heating
42,sac,0,0.50,20.99,-2.27,17.79,0.2288,3.0691,0.0000,0.0084,1,0.3913,0.3488,heating
42,sac,0,0.75,20.99,-2.24,17.79,0.2554,2.9985,0.0000,0.0087,1,0.3684,0.3483,heating
42,sac,0,1.00,20.99,-2.19,17.79,0.2805,2.9310,0.0000,0.0088,1,0.3467,0.3477,heating
42,sac,0,1.25,20.99,-2.14,17.79,0.3041,2.8669,0.0000,0.0088,1,0.3265,0.3469,heating
42,sac,0,1.50,20.99,-2.07,17.79,0.3264,2.8060,0.0000,0.0088,1,0.3075,0.3459,heating
42,sac,0,1.75,20.99,-1.99,17.79,0.3473,2.7483,0.0000,0.0087,1,0.2899,0.3447,heating
42,sac,0,2.00,20.99,-1.89,17.79,0.3666,2.6719,0.0000,0.0085,1,0.2662,0.3433,heating
42,sac,0,2.25,20.99,-1.79,17.79,0.3843,2.6020,0.0000,0.0083,1,0.2449,0.3418,heating
42,sac,0,2.50,20.99,-1.67,17.79,0.4007,2.5388,0.0000,0.0079,1,0.2261,0.3401,heating
42,sac,0,2.75,20.99,-1.55,17.79,0.4158,2.4818,0.0000,0.0076,1,0.2095,0.3383,heating
42,sac,0,3.00,20.99,-1.42,17.79,0.4299,2.4303,0.0000,0.0071,1,0.1951,0.3363,heating
42,sac,0,3.25,20.99,-1.27,17.79,0.4431,2.3841,0.0000,0.0067,1,0.1825,0.3342,heating
42,sac,0,3.50,20.99,-1.12,17.79,0.4555,2.3424,0.0000,0.0062,1,0.1716,0.3319,heating
42,sac,0,3.75,20.99,-0.96,17.79,0.4673,2.3049,0.0000,0.0057,1,0.1623,0.3295,heating
42,sac,0,4.00,20.99,-0.79,17.79,0.4784,2.2711,0.0000,0.0052,1,0.1543,0.3270,heating
42,sac,0,4.25,21.00,-0.62,17.79,0.4891,2.2406,0.0000,0.0046,1,0.1476,0.3245,heating
42,sac,0,4.50,21.00,-0.44,17.79,0.4994,2.2129,0.0000,0.0041,1,0.1419,0.3218,heating
42,sac,0,4.75,21.00,-0.26,17.79,0.5093,2.1876,0.0000,0.0035,1,0.1372,0.3190,heating
42,sac,0,5.00,21.00,-0.07,23.71,0.5189,2.1636,0.0000,0.0035,1,0.1332,0.3160,heating
42,sac,0,5.25,20.99,0.12,23.71,0.5187,1.7392,0.0000,0.0056,1,-0.0035,0.3123,heating
42,sac,0,5.50,20.99,0.31,23.71,0.5192,1.7627,0.0000,0.0054,1,0.0072,0.3103,heating
42,sac,0,5.75,20.99,0.51,23.71,0.5204,1.7807,0.0000,0.0052,1,0.0171,0.3074,heating
42,sac,0,6.00,21.00,0.71,23.71,0.5223,1.7961,0.0000,0.0049,1,0.0261,0.3044,heating
42,sac,0,6.25,21.00,0.90,23.71,0.5248,1.8020,0.0070,0.0047,1,0.0343,0.3015,heating
42,sac,0,6.50,21.00,1.10,23.71,0.5278,1.8046,0.0143,0.0044,1,0.0415,0.2986,heating
42,sac,0,6.75,21.00,1.29,23.71,0.5313,1.8056,0.0211,0.0042,1,0.0480,0.2957,heating
42,sac,0,7.00,21.00,1.48,23.71,0.5352,1.8042,0.0284,0.0041,1,0.0539,0.2928,heating
42,sac,0,7.25,21.00,1.67,23.71,0.5394,1.8015,0.0351,0.0040,1,0.0590,0.2899,heating
42,sac,0,7.50,21.00,1.85,23.71,0.5440,1.7980,0.0412,0.0040,1,0.0635,0.2872,heating
42,sac,0,7.75,21.00,2.03,23.71,0.5489,1.7917,0.0486,0.0039,1,0.0675,0.2845,heating
42,sac,0,8.00,21.00,2.21,23.71,0.5540,1.7848,0.0549,0.0039,1,0.0707,0.2819,heating
42,sac,0,8.25,21.00,2.37,23.71,0.5593,1.7773,0.0600,0.0041,1,0.0734,0.2793,heating
42,sac,0,8.50,21.00,2.53,23.71,0.5648,1.7687,0.0654,0.0043,1,0.0756,0.2769,heating
42,sac,0,8.75,21.00,2.68,23.71,0.5704,1.7577,0.0720,0.0046,1,0.0771,0.2746,heating
42,sac,0,9.00,21.00,2.83,23.71,0.5760,1.7486,0.0756,0.0048,1,0.0782,0.2724,heating
42,sac,0,9.25,20.99,2.96,23.71,0.5817,1.7374,0.0805,0.0051,1,0.0788,0.2704,heating
42,sac,0,9.50,20.99,3.09,23.71,0.5874,1.7263,0.0843,0.0053,1,0.0788,0.2686,heating
42,sac,0,9.75,20.99,3.20,23.71,0.5931,1.7113,0.0912,0.0055,1,0.0784,0.2668,heating
42,sac,0,10.00,20.99,3.30,23.71,0.5987,1.6988,0.0945,0.0057,1,0.0774,0.2653,heating
42,sac,0,10.25,20.99,3.40,23.71,0.6042,1.6858,0.0981,0.0059,1,0.0761,0.2639,heating
42,sac,0,10.50,20.99,3.48,23.71,0.6096,1.6724,0.1013,0.0061,1,0.0743,0.2627,heating
42,sac,0,10.75,20.99,3.55,23.71,0.6148,1.6606,0.1025,0.0062,1,0.0722,0.2616,heating
42,sac,0,11.00,20.99,3.60,23.71,0.6198,1.6481,0.1050,0.0062,1,0.0699,0.2609,heating
42,sac,0,11.25,20.99,3.65,23.71,0.6247,1.6389,0.1048,0.0059,1,0.0675,0.2603,heating
42,sac,0,11.50,20.99,3.68,23.71,0.6294,1.6278,0.1058,0.0056,1,0.0648,0.2598,heating
42,sac,0,11.75,20.99,3.70,23.71,0.6339,1.6139,0.1090,0.0053,1,0.0615,0.2596,heating
42,sac,0,12.00,21.00,3.71,23.71,0.6380,1.6032,0.1083,0.0050,1,0.0579,0.2595,heating
42,sac,0,12.25,21.00,3.70,23.71,0.6420,1.5916,0.1085,0.0047,1,0.0540,0.2596,heating
42,sac,0,12.50,21.00,3.68,23.71,0.6455,1.5798,0.1087,0.0044,1,0.0497,0.2599,heating
42,sac,0,12.75,21.00,3.65,23.71,0.6488,1.5697,0.1069,0.0041,1,0.0451,0.2603,heating
42,sac,0,13.00,21.00,3.60,23.71,0.6517,1.5599,0.1050,0.0038,1,0.0403,0.2610,heating
42,sac,0,13.25,21.00,3.55,23.71,0.6543,1.5502,0.1029,0.0035,1,0.0352,0.2619,heating
42,sac,0,13.50,21.00,3.48,23.71,0.6564,1.5427,0.0994,0.0029,1,0.0300,0.2630,heating
42,sac,0,13.75,21.00,3.40,23.71,0.6582,1.5354,0.0954,0.0022,1,0.0246,0.2643,heating
42,sac,0,14.00,21.00,3.30,23.71,0.6596,1.5261,0.0937,0.0016,1,0.0190,0.2657,heating
42,sac,0,14.25,21.00,3.20,23.71,0.6606,1.5195,0.0891,0.0011,1,0.0133,0.2672,heating
42,sac,0,14.50,21.00,3.09,23.71,0.6611,1.5122,0.0857,0.0006,1,0.0075,0.2689,heating
42,sac,0,14.75,21.00,2.96,23.71,0.6612,1.5049,0.0827,0.0002,1,0.0015,0.2707,heating
42,sac,0,15.00,21.00,2.83,23.71,0.6609,1.5023,0.0758,0.0002,1,-0.0044,0.2728,heating
42,sac,0,15.25,21.00,2.68,23.71,0.6601,1.4995,0.0702,0.0006,1,-0.0103,0.2749,heating
42,sac,0,15.50,21.00,2.53,23.71,0.6589,1.4964,0.0654,0.0009,1,-0.0162,0.2772,heating
